"group","fraction","treatment_group","main","color","alpha","label"
"Activist",0.287898089171975,"1","Honey and Mumford's Learning Styles
Control Group","skyblue",1,"Control Group"
"Pragmatist",0.259872611464968,"1","Honey and Mumford's Learning Styles
Control Group","skyblue",1,"Control Group"
"Reflector",0.193630573248408,"1","Honey and Mumford's Learning Styles
Control Group","skyblue",1,"Control Group"
"Theorist",0.25859872611465,"1","Honey and Mumford's Learning Styles
Control Group","skyblue",1,"Control Group"
"Activist",0.330926594464501,"2","Honey and Mumford's Learning Styles
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Pragmatist",0.233453670276775,"2","Honey and Mumford's Learning Styles
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Reflector",0.184115523465704,"2","Honey and Mumford's Learning Styles
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Theorist",0.25150421179302,"2","Honey and Mumford's Learning Styles
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Activist",0.32133676092545,"3","Honey and Mumford's Learning Styles
Tailored AI","lightgreen",0.5,"Tailored AI"
"Pragmatist",0.240359897172236,"3","Honey and Mumford's Learning Styles
Tailored AI","lightgreen",0.5,"Tailored AI"
"Reflector",0.223650385604113,"3","Honey and Mumford's Learning Styles
Tailored AI","lightgreen",0.5,"Tailored AI"
"Theorist",0.214652956298201,"3","Honey and Mumford's Learning Styles
Tailored AI","lightgreen",0.5,"Tailored AI"
