"group","fraction","treatment_group","main","color","alpha","label"
"50% to 59%",0.137579617834395,"1","Last Dutch Grade
Control Group","skyblue",1,"Control Group"
"60% to 69%",0.402547770700637,"1","Last Dutch Grade
Control Group","skyblue",1,"Control Group"
"70% to 79%",0.349044585987261,"1","Last Dutch Grade
Control Group","skyblue",1,"Control Group"
"Over 80%",0.0828025477707006,"1","Last Dutch Grade
Control Group","skyblue",1,"Control Group"
"Under 50%",0.0280254777070064,"1","Last Dutch Grade
Control Group","skyblue",1,"Control Group"
"50% to 59%",0.144404332129964,"2","Last Dutch Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"60% to 69%",0.424789410348977,"2","Last Dutch Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"70% to 79%",0.298435619735259,"2","Last Dutch Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Over 80%",0.108303249097473,"2","Last Dutch Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Under 50%",0.0240673886883273,"2","Last Dutch Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"50% to 59%",0.120822622107969,"3","Last Dutch Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"60% to 69%",0.406169665809769,"3","Last Dutch Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"70% to 79%",0.350899742930591,"3","Last Dutch Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"Over 80%",0.0951156812339332,"3","Last Dutch Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"Under 50%",0.0269922879177378,"3","Last Dutch Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
