"group","fraction","treatment_group","main","color","alpha","label"
"Higher education degree 
or university degree",0.694214876033058,"1","Parents' educational level
Control Group","skyblue",1,"Control Group"
"I don't know",0.09366391184573,"1","Parents' educational level
Control Group","skyblue",1,"Control Group"
"No secondary education/high 
school not completed",0.0371900826446281,"1","Parents' educational level
Control Group","skyblue",1,"Control Group"
"Secondary education diploma/high 
school diploma",0.174931129476584,"1","Parents' educational level
Control Group","skyblue",1,"Control Group"
"Higher education degree 
or university degree",0.686548223350254,"2","Parents' educational level
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"I don't know",0.116751269035533,"2","Parents' educational level
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"No secondary education/high 
school not completed",0.0317258883248731,"2","Parents' educational level
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Secondary education diploma/high 
school diploma",0.16497461928934,"2","Parents' educational level
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Higher education degree 
or university degree",0.668508287292818,"3","Parents' educational level
Tailored AI","lightgreen",0.5,"Tailored AI"
"I don't know",0.116022099447514,"3","Parents' educational level
Tailored AI","lightgreen",0.5,"Tailored AI"
"No secondary education/high 
school not completed",0.0414364640883978,"3","Parents' educational level
Tailored AI","lightgreen",0.5,"Tailored AI"
"Secondary education diploma/high 
school diploma",0.174033149171271,"3","Parents' educational level
Tailored AI","lightgreen",0.5,"Tailored AI"
